アクティビティID,アクティビティ実行日,アクティビティ名,アクティビティタイプ,アクティビティの説明,経過時間,距離,最大心拍数,相対的エフォート,通勤,アクティビティギア,ファイル名,アスリート体重,自転車重量,経過時間,移動時間,距離,最高速度,平均速度,獲得標高,獲得標高（下り）,最低標高,最高標高,最大勾配,平均勾配,平均プラス勾配,平均マイナス勾配,最大ケイデンス,平均ケイデンス,最大心拍数,平均心拍数,最大ワット,平均ワット,カロリー,最高気温,平均気温,相対的エフォート,合計運動量,ラン数,上り坂のタイム,下り坂のタイム,その他のタイム,主観的運動強度,"<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",加重平均パワー,パワーカウント,主観的運動強度を使用する,主観的相対的エフォート,通勤,総重量,アップロードより,Grade Adjusted Pace,観測時刻,天候,平均気温,体感温度,露点,湿度,気圧,風速,瞬間風速,風向,降水量,日の入,日の出,月齢,自転車,ギア,降水確率,降水タイプ,雲量,視程,UV指数,オゾン情報,"<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: ja-JP.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
7243296387,2022/06/02 14:31:33,1日目,ランニング,きつい,1327,3.28,,,false,,activities/7243296387.gpx,,,1327.0,1323.0,3280.610107421875,4.105999946594238,2.479675054550171,0.0,-0.10000000149011612,3.700000047683716,5.300000190734863,5.534031867980957,0.003048213431611657,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3284.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.472200632095337,109.0999984741211,,,
7248426506,2022/06/03 14:04:05,2日目,ランニング,,960,2.34,,,false,,activities/7248426506.gpx,,,960.0,957.0,2346.8798828125,3.5,2.4523301124572754,3.31538462638855,3.7153847217559814,4.5,8.5,6.890611171722412,-0.017043905332684517,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2357.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.444666624069214,0.0,,,
7264283895,2022/06/06 13:02:53,夜のランニング,ランニング,,597,1.67,,,false,,activities/7264283895.gpx,,,597.0,594.0,1670.3299560546875,3.872000217437744,2.8120033740997314,2.017916679382324,0.4179166555404663,4.5,6.800000190734863,3.159564256668091,0.09578945487737656,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1675.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.797872543334961,116.9000015258789,,,
7269654455,2022/06/07 13:06:11,夜のランニング,ランニング,,1181,3.23,,,false,,activities/7269654455.gpx,,,1181.0,1181.0,3232.27001953125,4.108007907867432,2.7368924617767334,0.0,3.0999999046325684,4.300000190734863,8.100000381469727,1.5760362148284912,-0.09590782970190048,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3228.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7368924617767334,94.5999984741211,,,
7275061962,2022/06/08 13:03:09,夜のランニング,ランニング,,1109,3.03,,,false,,activities/7275061962.gpx,,,1109.0,1102.0,3030.800048828125,4.458001613616943,2.750272274017334,9.982565879821777,10.582566261291504,2.5999999046325684,11.800000190734863,11.503713607788086,-0.01979675330221653,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3068.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.732912540435791,67.9000015258789,,,
7280230418,2022/06/09 12:55:38,夜のランニング,ランニング,,1100,3.06,,,false,,activities/7280230418.gpx,,,1100.0,1100.0,3063.06005859375,4.522021293640137,2.784600019454956,0.0,0.20000000298023224,4.5,5.300000190734863,2.4095535278320312,-0.006529418285936117,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3064.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.784600019454956,50.29999923706055,,,
7283060123,2022/06/09 23:50:44,朝のランニング,ランニング,,546,1.54,,,false,,activities/7283060123.gpx,,,546.0,546.0,1540.97998046875,3.7539992332458496,2.822307586669922,0.0,0.20000000298023224,4.800000190734863,5.300000190734863,0.9560264945030212,-0.012978754006326199,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1541.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.822307586669922,0.0,,,
7301626315,2022/06/13 12:20:58,夜のランニング,ランニング,,1529,4.23,,,false,,activities/7301626315.gpx,,,1529.0,1529.0,4232.93994140625,4.139996528625488,2.768436908721924,3.200000047683716,3.5,4.199999809265137,7.5,4.905389308929443,-0.007087272591888905,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4237.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.768436908721924,56.0,,,
7313077414,2022/06/15 13:49:24,夜のランニング,ランニング,,1820,5.03,,,false,,activities/7313077414.gpx,,,1820.0,1820.0,5031.1201171875,4.331999778747559,2.7643516063690186,9.126511573791504,9.126511573791504,0.0,7.5,41.60706329345703,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5097.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7643516063690186,0.0,,,
7329134878,2022/06/18 13:48:29,夜のランニング,ランニング,,1828,4.35,,,false,,activities/7329134878.gpx,,,1828.0,1828.0,4355.81982421875,3.482006788253784,2.38283371925354,0.0,0.0,4.199999809265137,5.300000190734863,1.6542811393737793,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4357.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.38283371925354,110.19999694824219,,,
